ENTITY_CD,INSTITUTION_ID,ENTITY_NAME,GRAD_RATE,ATTENDANCE_RATE,PER_FREE_LUNCH,PER_REDUCED_LUNCH,NUM_PRINC,NUM_TEACH,NUM_COUNSELORS,NUM_SOCIAL,PER_SUSPENSIONS,PER_ELL,PER_AM_IND,PER_BLACK,PER_HISP,PER_ASIAN,PER_WHITE,PER_Multi,PER_SWD,PER_FEMALE,PER_MALE,PER_ECDIS,PER_MIGRANT,PER_HOMELESS,PER_FOSTER,PER_ARMED,PER_TEACH_INEXP,PER_PRINC_INEXP,PER_OUT_CERT,OVERALL_STATUS,NEEDS_INDEX,PUPIL_COUNT_TOT,PER_FEDERAL_EXP,PER_STATE_LOCAL_EXP
141401060003,800000052236,LAKE SHORE SENIOR HIGH SCHOOL,91.4,92,40,7,1,64,5,0,6,0,13,1,2,1,82,1,22,49,51,49,0,0,0,1,8,0,3,Good Standing,5,726,371,17922
141800010008,800000052141,LACKAWANNA HIGH SCHOOL,73.8,88,68,7,1,48,3,1,16,15,0,15,13,2,69,2,16,47,53,76,0,0,1,0,0,100,3,Targeted Support and Improvement,3,572,2061,14144
142500010009,800000052015,TONAWANDA MIDDLE/HIGH SCHOOL,91.3,93,39,8,2,88,5,3,5,2,1,1,5,0,88,4,15,49,51,51,0,0,0,0,17,50,3,Good Standing,5,910,666,11739
142601030025,800000051987,KENMORE EAST SENIOR HIGH SCHOOL,91.4,96,40,6,1,136,6,0,5,3,0,7,5,2,82,3,21,50,50,46,0,1,0,0,3,0,2,Good Standing,5,1210,154,15241
142601860031,800000051942,CHARTER SCHOOL FOR APPLIED TECHNOLOGIES,96.8,94,65,11,3,170,15,4,16,5,1,39,28,6,18,8,11,51,49,77,0,0,0,0,20,33,21,Good Standing,7,2264,1201,13056
150301040001,800000051892,ELIZABETHTOWN-LEWIS CENTRAL SCHOOL,91.1,94,48,11,1,29,0,0,3,0,0,1,0,1,98,0,24,46,54,62,0,0,0,0,21,0,0,Good Standing,4,262,698,12022
151001040001,800000051866,NEWCOMB CENTRAL SCHOOL,100,95,28,1,1,19,0,0,1,0,0,1,1,3,95,0,11,46,54,30,0,0,0,0,16,0,12,Good Standing,6,81,883,31968
151501060001,800000051824,TICONDEROGA SENIOR HIGH SCHOOL,88.6,94,27,2,1,29,2,1,4,0,0,1,0,0,98,0,19,42,58,39,0,1,0,0,7,0,4,Good Standing,4,252,615,16555
151701040001,800000051800,WILLSBORO CENTRAL SCHOOL,88.1,95,47,7,1,30,1,0,5,0,0,0,2,0,92,6,18,53,48,57,0,0,0,0,0,0,4,Good Standing,5,256,635,17591
160101060001,800000051806,TUPPER LAKE MIDDLE-HIGH SCHOOL,83.3,95,46,7,1,34,2,0,6,0,1,0,2,1,94,2,18,53,47,55,0,0,0,0,3,100,12,Good Standing,5,305,668,20006
161501060014,800000051734,FRANKLIN ACADEMY HIGH SCHOOL,86.7,94,46,5,1,67,4,0,7,0,0,1,1,0,97,1,22,48,52,52,1,1,2,0,6,0,2,Good Standing,4,684,533,15755
170500010009,800000051683,GLOVERSVILLE HIGH SCHOOL,72.3,88,55,0,1,72,3,1,11,1,0,5,5,1,85,4,24,47,53,64,0,0,0,0,11,0,12,Targeted Support and Improvement,4,798,749,11632
170801040002,800000051632,MAYFIELD JR/SR HIGH SCHOOL,94.2,95,46,3,1,36,2,0,4,0,0,1,3,0,95,1,14,48,52,51,0,2,0,0,6,0,3,Comprehensive Support and Improvement,5,435,51,10134
180901040002,800000034021,ELBA JUNIOR-SENIOR HIGH SCHOOL,95.4,94,37,7,1,27,1,0,1,7,1,1,20,0,78,0,8,45,55,45,2,1,0,0,19,0,11,Good Standing,5,182,735,14596
190501040001,800000051491,COXSACKIE-ATHENS HIGH SCHOOL,91.4,96,23,1,1,47,2,0,7,1,0,5,6,2,87,1,10,45,55,28,0,0,0,0,9,100,3,Good Standing,5,420,183,11402
191401040001,800000051438,WINDHAM ASHLAND CENTRAL SCHOOL,93.2,95,37,6,1,37,2,0,7,2,0,0,8,3,85,4,14,47,53,43,0,1,0,0,14,100,11,Good Standing,5,312,677,19562
200901040001,800000051400,WELLS SCHOOL,97.2,95,30,17,1,23,0,0,1,0,0,3,1,0,96,0,20,42,58,49,0,0,0,0,9,0,0,Good Standing,5,144,996,7876
211103040001,800000051325,POLAND JUNIOR-SENIOR HIGH SCHOOL,97.2,95,32,5,1,26,1,1,10,0,0,0,2,0,94,3,8,52,48,41,0,0,0,0,8,0,13,Good Standing,4,247,596,18095
211701040001,800000051290,OWEN D YOUNG CENTRAL SCHOOL,93.4,95,49,9,1,22,1,0,2,0,0,0,2,0,98,1,2,52,48,58,0,0,1,0,23,0,22,Good Standing,4,187,919,12333
220401040004,800000051213,GENERAL BROWN JUNIOR-SENIOR HIGH SCHOOL,93.5,95,28,6,1,45,3,0,5,1,1,2,2,0,93,1,14,45,55,34,0,0,0,0,11,100,12,Good Standing,5,620,244,8227
222000010016,800000051148,WATERTOWN SENIOR HIGH SCHOOL,78.4,90,61,3,1,76,4,1,1,1,1,8,10,3,72,6,25,51,49,70,0,0,0,7,14,0,1,Good Standing,3,997,844,7006
240801060002,800000033934,LIVONIA SENIOR HIGH SCHOOL,90.3,94,28,4,1,50,2,0,3,1,0,1,3,1,95,1,13,49,51,35,0,0,0,0,2,100,0,Good Standing,5,479,313,17264
241001060003,800000033912,DANSVILLE HIGH SCHOOL,91.7,94,43,7,1,65,4,0,10,1,0,1,2,0,95,0,13,52,48,53,0,0,0,0,14,0,10,Good Standing,4,679,264,12663
241101040003,800000033950,DALTON-NUNDA HIGH SCHOOL,96.1,96,39,4,1,30,1,0,9,1,0,1,1,0,97,1,12,49,51,45,0,1,0,0,7,0,0,Good Standing,5,280,154,13837
251501040001,800000050865,STOCKBRIDGE VALLEY CENTRAL SCHOOL,96.6,94,43,9,2,44,2,0,5,0,2,0,2,0,93,2,13,51,49,55,0,1,0,0,23,100,0,Good Standing,5,409,848,13775
