"ENTITY_CD","SCHOOL_NAME","NUM_PRINC","NUM_TEACH","NUM_COUNSELORS","NUM_SOCIAL"
"031501060002","GEORGE F JOHNSON ELEMENTARY SCHOOL",1,37,0,1
"031501060007","LINNAEUS W WEST SCHOOL",1,17,1,0
"031501060009","JENNIE F SNAPP MIDDLE SCHOOL",1,83,3,2
"031501060012","UNION-ENDICOTT HIGH SCHOOL",1,99,5,2
"031501060013","THOMAS J WATSON SR ELEMENTARY SCHOOL",1,26,0,1
"031501060014","ANN G MCGUINNESS ELEMENTAR SCHOOL",1,27,0,0
"031502060001","JOHNSON CITY ELEMENTARY/INTERMEDIATE SCHOOL",1,41,0,0
"031502060003","JOHNSON CITY ELEMENTARY/PRIMARY SCHOOL",1,41,0,1
"031502060005","JOHNSON CITY MIDDLE SCHOOL",1,50,2,1
"031502060006","JOHNSON CITY SENIOR HIGH SCHOOL",1,73,4,2
"031601060021","AFRICAN ROAD ELEMENTARY SCHOOL",1,31,1,0
"031601060022","CLAYTON AVENUE ELEMENTARY SCHOOL",1,31,1,0
"031601060023","GLENWOOD ELEMENTARY SCHOOL",1,32,1,0
"031601060026","TIOGA HILLS ELEMENTARY SCHOOL",1,28,1,0
"031601060028","VESTAL HILLS ELEMENTARY SCHOOL",1,34,1,0
"031601060041","VESTAL MIDDLE SCHOOL",1,78,2,0
"031601060051","VESTAL SENIOR HIGH SCHOOL",2,86,5,0
"031701060002","FLOYD BELL ELEMENTARY SCHOOL",1,23,1,0
"031701060003","C R WEEKS ELEMENTARY SCHOOL",1,22,1,0
"031701060004","A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL",2,54,3,0
"031701060007","WINDSOR CENTRAL HIGH SCHOOL",1,48,3,0
"040204040001","WEST VALLEY CENTRAL SCHOOL",1,32,1,0
"040302060001","ALLEGANY-LIMESTONE HIGH SCHOOL",1,56,4,0
"040302060002","ALLEGANY-LIMESTONE ELEMENTARY SCHOOL",1,39,1,0
"040901040001","ELLICOTTVILLE ELEMENTARY SCHOOL",2,27,1,0
"040901040002","ELLICOTTVILLE MIDDLE SCHOOL HIGH SCHOOL",3,31,2,0
"041101040002","FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL",3,32,0,0
"041101040003","FRANKLINVILLE ELEMENTARY SCHOOL",1,39,0,0
"041401040001","HINSDALE CENTRAL SCHOOL",1,44,2,1
"042302040002","CATTARAUGUS-LITTLE VALLEY ELEMENTARY SCHOOL",1,34,1,0
"042302040003","CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL",1,32,3,0
"042302040004","CATTARAUGUS-LITTLE VALLEY MIDDLE SCHOOL",1,38,2,0
"042400010002","WASHINGTON WEST ELEMENTARY SCHOOL",1,25,1,0
"042400010004","EAST VIEW ELEMENTARY SCHOOL",1,26,1,0
"042400010013","OLEAN SENIOR HIGH SCHOOL",1,56,5,0
"042400010016","OLEAN INTERMEDIATE-MIDDLE SCHOOL",2,55,4,0
"042801060001","GOWANDA ELEMENTARY SCHOOL",1,40,2,1
"042801060005","GOWANDA MIDDLE SCHOOL",1,40,3,1
"042801060006","GOWANDA HIGH SCHOOL",2,42,3,1
"042901040001","PORTVILLE ELEMENTARY SCHOOL",1,41,1,0
"042901040002","PORTVILLE JUNIOR-SENIOR HIGH SCHOOL",1,40,2,0
"043001040002","RANDOLPH SENIOR HIGH SCHOOL",1,42,2,0
"043001040003","G N CHAPMAN ELEMENTARY SCHOOL",2,41,1,0
"043011020001","RANDOLPH ACADEMY",1,18,5,0
"043011020002","RANDOLPH ACADEMYHAMBURG CAMPUS",1,15,5,0
"043200050002","SALAMANCA JUNIOR/SENIOR HIGH SCHOOL",1,51,4,2
"043200050004","PROSPECT ELEMENTARY SCHOOL",1,41,1,1
"043200050005","SENECA ELEMENTARY SCHOOL",2,47,2,2
"043501060001","DELEVAN ELEMENTARY SCHOOL",1,31,0,0
"043501060004","PIONEER MIDDLE SCHOOL",1,72,2,0
"043501060005","ARCADE ELEMENTARY SCHOOL",1,48,0,0
"043501060006","PIONEER SENIOR HIGH SCHOOL",1,69,3,0
"050100010002","CASEY PARK ELEMENTARY SCHOOL",1,36,0,0
"050100010004","GENESEE STREET ELEMENTARY SCHOOL",1,33,0,0
"050100010005","HERMAN AVENUE ELEMENTARY SCHOOL",0,34,0,0
"050100010007","OWASCO ELEMENTARY SCHOOL",0,35,0,0
"050100010008","WILLIAM H SEWARD ELEMENTARY SCHOOL",1,39,0,0
"050100010009","AUBURN JUNIOR HIGH SCHOOL",1,53,2,0
"050100010013","AUBURN HIGH SCHOOL",1,85,5,0
"050301040002","WEEDSPORT JUNIOR-SENIOR HIGH SCHOOL",1,42,2,0
"050301040003","WEEDSPORT ELEMENTARY SCHOOL",1,30,2,0
"050401040001","CATO-MERIDIAN ELEMENTARY SCHOOL",1,29,0,0
"050401040002","CATO-MERIDIAN MIDDLE SCHOOL",1,36,1,0
"050401040003","CATO-MERIDIAN SENIOR HIGH SCHOOL",1,31,2,0
