"","ENTITY_CD","ENTITY_NAME","PER_ELL","PER_AM_IND","PER_BLACK","PER_HISP","PER_ASIAN","PER_WHITE","PER_Multi","PER_SWD","PER_FEMALE","PER_MALE","PER_ECDIS","PER_MIGRANT","PER_HOMELESS","PER_FOSTER","PER_ARMED"
"2782","332100010239","MARK TWAIN IS 239 FOR THE GIFTED AND TALENTED",1,0,6,7,27,51,8,15,53,47,37,0,1,0,0
"2783","332100010253","PS 253",22,1,0,38,35,25,1,18,47,53,82,0,5,0,0
"2784","332100010281","IS 281 JOSEPH B CAVALLARO",17,0,6,24,41,28,0,20,48,52,83,0,3,0,0
"2785","332100010288","PS 288 SHIRLEY TANYHILL (THE)",5,0,61,32,2,5,0,32,49,51,95,0,4,0,0
"2786","332100010303","IS 303 HERBERT S EISENBERG",17,0,10,38,22,29,1,17,48,52,75,0,7,0,0
"2787","332100010329","PS 329 SURFSIDE",4,1,61,29,5,4,0,30,45,55,96,0,11,0,0
"2788","332100011337","INTERNATIONAL HIGH SCHOOL AT LAFAYETTE",87,0,4,37,34,25,0,3,41,59,89,0,33,0,0
"2789","332100011344","RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES",18,0,14,18,18,47,2,18,45,55,70,0,4,0,0
"2790","332100011348","HIGH SCHOOL OF SPORTS MANAGEMENT",13,2,50,29,7,12,1,22,18,82,76,0,10,0,0
"2791","332100011410","ABRAHAM LINCOLN HIGH SCHOOL",17,1,42,24,15,17,0,17,40,60,80,0,6,0,0
"2792","332100011468","KINGSBOROUGH EARLY COLLEGE SCHOOL",1,0,25,32,7,34,2,20,47,53,70,0,4,0,0
"2793","332100011525","EDWARD R MURROW HIGH SCHOOL",9,0,22,19,25,30,4,19,58,42,67,0,9,0,0
"2794","332100011540","JOHN DEWEY HIGH SCHOOL",17,1,32,23,30,13,1,13,50,50,83,0,5,0,0
"2795","332100011559","LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC",9,1,32,40,12,14,0,24,52,48,78,0,5,0,0
"2796","332100011572","EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS",15,2,18,36,15,26,2,21,48,52,77,0,8,0,0
"2797","332100011620","WILLIAM E GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",7,1,58,24,3,13,1,40,24,76,89,0,10,0,0
"2798","332100011690","BROOKLYN STUDIO SECONDARY SCHOOL",16,0,4,29,22,43,2,21,49,51,78,0,2,0,0
"2799","332100011728","LIBERATION DIPLOMA PLUS",6,0,48,39,2,11,0,39,48,52,82,0,7,0,0
"2800","332100860949","CONEY ISLAND PREPARATORY PUBLIC CHARTER SCHOOL",5,1,39,35,8,16,1,25,44,56,83,0,6,0,0
"2801","332100861075","SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST",10,0,11,13,16,59,1,16,49,51,57,0,2,0,0
"2802","332100861123","HEBREW LANGUAGE ACADEMY CHARTER 2",24,0,21,12,5,58,4,30,52,48,79,0,4,0,0
"2803","332200010014","JHS 14 SHELL BANK",26,1,36,16,16,31,1,25,44,56,88,0,12,0,0
"2804","332200010052","PS 52 SHEEPSHEAD BAY",29,1,15,14,18,51,1,15,49,51,75,0,5,0,0
"2805","332200010078","JHS 78 ROY H MANN",6,1,66,11,7,14,2,25,46,54,75,0,10,0,0
"2806","332200010109","PS 109",5,1,79,15,2,3,1,29,47,53,84,0,17,0,0
"2807","332200010119","PS 119 AMERSFORT",8,1,60,15,18,4,3,18,49,51,72,0,9,0,0
"2808","332200010134","PS 134",16,1,4,8,47,40,0,15,51,49,89,0,8,0,0
"2809","332200010139","PS 139 ALEXINE A FENTY",16,1,25,42,19,11,2,20,48,52,81,0,11,0,0
"2810","332200010152","SCHOOL OF SCIENCE AND TECHNOLOGY",17,0,59,29,8,3,1,23,50,50,77,0,12,0,0
"2811","332200010193","PS 193 GIL HODGES",19,5,42,14,17,20,2,23,49,51,72,0,4,0,0
"2812","332200010194","PS 194 RAOUL WALLENBERG",14,0,47,19,11,22,0,31,52,48,90,0,11,0,0
"2813","332200010195","PS 195 MANHATTAN BEACH",17,0,1,2,3,93,1,8,49,51,31,0,0,0,0
"2814","332200010197","PS 197 KINGS HIGHWAY ACADEMY (THE)",32,1,9,11,15,62,1,19,52,48,64,0,6,0,0
"2815","332200010198","PS 198",2,2,83,10,3,2,0,24,51,49,82,0,23,0,0
"2816","332200010203","PS 203 FLOYD BENNETT SCHOOL",10,1,73,11,9,3,2,26,48,52,70,0,11,0,0
"2817","332200010206","PS 206 JOSEPH F LAMB",24,1,2,10,47,40,1,13,51,49,71,0,3,0,0
"2818","332200010207","PS 207 ELIZABETH G LEARY",4,1,34,16,14,33,2,20,46,54,48,0,1,0,0
"2819","332200010217","PS 217 COLONEL DAVID MARCUS SCHOOL",26,0,9,17,53,18,3,15,50,50,78,0,8,0,0
"2820","332200010222","PS 222 KATHERINE R SNYDER",10,0,14,18,21,44,2,24,47,53,53,0,0,0,0
"2821","332200010234","JHS 234 ARTHUR W CUNNINGHAM",10,1,17,15,24,43,1,16,50,50,72,0,6,0,0
"2822","332200010236","PS 236 MILL BASIN",7,1,20,14,10,50,5,16,51,49,45,0,3,0,0
"2823","332200010240","ANDRIES HUDDE SCHOOL",17,1,58,16,16,9,0,21,48,52,84,0,11,0,0
"2824","332200010245","PS 245",8,1,54,42,1,1,0,27,52,48,96,0,10,0,0
"2825","332200010251","PS 251 PAERDEGAT",8,1,74,15,2,6,2,22,52,48,78,0,9,0,0
"2826","332200010254","PS 254 DAG HAMMARSKJOLD",23,0,1,8,30,61,0,14,47,53,57,0,1,0,0
"2827","332200010255","PS 255 BARBARA REING SCHOOL",21,1,2,10,22,64,1,18,49,51,77,0,8,0,0
"2828","332200010277","PS 277 GERRITSEN BEACH",7,1,2,11,15,70,1,24,47,53,50,0,1,0,1
"2829","332200010278","JHS 278 MARINE PARK",4,1,40,18,11,30,1,18,49,51,70,0,6,0,0
"2830","332200010312","PS 312 BERGEN BEACH",5,1,38,14,5,40,2,22,51,49,55,0,3,0,0
"2831","332200010315","PS 315",16,1,55,27,8,7,1,28,50,50,89,0,13,0,0
"2832","332200010326","PS 326",32,1,62,17,15,2,3,26,48,52,71,0,1,0,1
"2833","332200010361","PS 361 EAST FLATBUSH EARLY CHILDHOOD SCHOOL",23,0,75,16,4,5,0,26,48,52,83,0,17,0,0
"2834","332200010381","IS 381",12,1,56,19,12,11,0,20,50,50,78,0,2,0,0
"2835","332200010889","PS 889",12,1,41,19,18,20,2,9,52,48,65,0,4,0,0
