"","ENTITY_CD","NUM_TEACH","PER_TEACH_INEXP","NUM_PRINC","PER_PRINC_INEXP"
"264","040901040002",31,0,3,33
"265","041101040000",70,10,4,25
"266","041101040002",32,3,3,33
"267","041101040003",39,15,1,0
"268","041401040000",44,25,1,0
"269","041401040001",44,25,1,0
"270","042302040000",89,19,3,100
"271","042302040002",34,15,1,100
"272","042302040003",32,16,1,100
"273","042302040004",38,18,1,100
"274","042400010000",156,5,5,20
"275","042400010002",25,4,1,100
"276","042400010004",26,0,1,0
"277","042400010013",56,9,1,0
"278","042400010016",55,4,2,0
"279","042801060000",115,13,4,50
"280","042801060001",40,23,1,0
"281","042801060005",40,10,1,0
"282","042801060006",42,7,2,100
"283","042901040000",76,11,2,0
"284","042901040001",41,15,1,0
"285","042901040002",40,8,1,0
"286","043001040000",83,6,3,0
"287","043001040002",42,5,1,0
"288","043001040003",41,7,2,0
"289","043011020000",32,63,2,0
"290","043011020001",18,78,1,0
"291","043011020002",15,47,1,0
"292","043200050000",130,18,4,25
"293","043200050002",51,16,1,100
"294","043200050004",41,20,1,0
"295","043200050005",47,17,2,0
"296","043501060000",216,5,4,0
"297","043501060001",31,6,1,0
"298","043501060004",72,6,1,0
"299","043501060005",48,6,1,0
"300","043501060006",69,1,1,0
"301","050100010000",303,11,7,43
"302","050100010002",36,19,1,100
"303","050100010004",33,15,1,100
"304","050100010005",34,6,0,0
"305","050100010007",35,17,0,0
"306","050100010008",39,5,1,100
"307","050100010009",53,11,1,0
"308","050100010013",85,13,1,0
"309","050301040000",70,11,2,0
"310","050301040002",42,12,1,0
"311","050301040003",30,10,1,0
"312","050401040000",85,13,3,0
"313","050401040001",29,14,1,0
"314","050401040002",36,25,1,0
"315","050401040003",31,3,1,0
"316","050701040000",60,20,2,50
"317","050701040005",30,13,1,0
"318","050701040007",32,28,1,100
"319","051101040000",62,6,2,0
"320","051101040001",29,0,1,0
"321","051101040004",36,11,1,0
"322","051301040000",70,10,3,33
"323","051301040001",31,6,1,0
"324","051301040003",40,13,2,50
"325","051901040000",62,3,3,0
"326","051901040002",23,0,1,0
"327","051901040005",30,7,1,0
"328","051901040006",24,4,1,0
"329","060201060000",110,10,3,33
"330","060201060003",47,13,1,0
"331","060201060006",33,6,1,0
"332","060201060007",45,11,1,100
"333","060301040000",66,11,2,100
"334","060301040002",33,6,1,100
"335","060301040004",34,15,1,100
"336","060401040000",71,10,2,50
"337","060401040003",23,13,1,0
"338","060401040006",48,8,1,100
"339","060503040000",84,17,2,50
"340","060503040001",53,19,1,0
"341","060503040002",40,23,1,100
"342","060601040000",58,36,2,50
"343","060601040002",28,32,1,0
"344","060601040003",37,43,1,100
"345","060701040000",36,6,1,100
"346","060701040003",36,6,1,100
"347","060800010000",178,18,7,43
"348","060800010003",16,19,1,0
"349","060800010004",20,15,1,0
"350","060800010005",21,5,1,0
"351","060800010007",18,22,1,100
"352","060800010009",59,20,2,50
"353","060800010010",51,20,1,100
"354","080601040002",20,5,1,0
"355","080601040003",29,7,1,0
"356","080601040004",26,0,1,0
"357","081003040000",65,9,2,0
"358","081003040003",44,11,1,0
"359","081003040006",30,7,1,0
"360","081200050000",144,10,4,50
"361","081200050001",24,21,1,100
"362","081200050002",31,3,1,100
"363","081200050003",49,6,1,0
"364","081200050004",48,13,1,0
"365","081401040000",30,33,1,0
"366","081401040001",30,33,1,0
"367","081501040000",77,10,3,33
"368","081501040001",29,7,1,0
"369","081501040002",26,12,1,0
"370","081501040003",29,10,1,100
"371","082001040000",95,2,3,33
"372","082001040002",45,4,1,0
"373","082001040003",30,0,1,0
"374","082001040004",30,0,1,100
"375","090201040000",92,10,4,25
"376","090201040001",30,17,1,0
"377","090201040002",32,9,1,0
"378","090201040004",20,10,1,0
"379","090201040005",21,0,1,100
"380","090301060000",155,6,5,80
"381","090301060001",33,9,1,100
"382","090301060003",35,9,1,100
"383","090301060005",44,7,2,50
"384","090301060006",55,5,1,100
"385","090501040000",105,11,4,0
"386","090501040002",41,15,1,0
"387","090501040003",20,5,1,0
"388","090501040006",25,12,1,0
"389","090501040007",33,12,1,0
"390","090601020000",41,10,2,0
"391","090601020001",22,14,1,0
"392","090601020002",23,9,1,0
"393","090901040000",82,4,3,0
"394","090901040001",31,6,1,0
"395","090901040002",51,2,2,0
"396","091101060000",162,7,4,0
"397","091101060004",72,10,2,0
"398","091101060005",97,5,2,0
"399","091200010000",174,7,5,20
"400","091200010001",23,9,1,0
"401","091200010003",35,6,1,100
"402","091200010004",24,4,1,0
"403","091200010005",52,10,1,0
"404","091200010006",48,10,1,0
"405","091402060000",130,12,4,0
"406","091402060002",27,22,1,0
"407","091402060004",31,16,1,0
"408","091402060005",44,5,1,0
"409","091402060007",36,8,1,0
"410","100308020000",13,15,2,50
"411","100308020001",10,10,1,0
"412","100308020002",3,33,1,100
"413","100501040000",123,11,2,0
"414","100501040003",66,15,1,0
"415","100501040006",67,9,1,0
"416","100902040000",53,17,3,33
"417","100902040003",28,14,2,50
"418","100902040004",29,21,1,0
"419","101001040000",103,20,3,33
"420","101001040001",40,30,1,0
"421","101001040002",38,18,1,0
"422","101001040006",29,10,1,100
"423","101300010000",148,8,3,0
"424","101300010001",48,4,1,0
"425","101300010003",65,11,1,0
"426","101300010004",42,10,1,0
"427","101401040000",173,10,4,0
"428","101401040004",51,16,1,0
"429","101401040005",58,12,1,0
"430","101401040006",72,6,2,0
"431","101601040000",49,12,2,0
"432","101601040002",21,14,1,0
"433","101601040003",28,11,1,0
"434","110101040000",64,19,2,0
"435","110101040001",25,16,1,0
"436","110101040002",29,28,1,0
"437","110101040003",33,24,2,0
"438","110200010000",173,14,9,22
"439","110200010003",27,7,1,100
"440","110200010004",10,30,1,0
"441","110200010008",13,15,1,100
"442","110200010009",14,29,1,0
"443","110200010010",15,0,1,0
"444","110200010011",66,9,3,0
"445","110200010012",43,21,1,0
"446","110304040000",48,6,2,0
"447","110304040001",17,0,1,0
"448","110304040002",31,10,1,0
"449","110701060000",165,12,4,25
"450","110701060001",53,9,1,0
"451","110701060002",27,22,1,0
"452","110701060003",37,11,1,0
"453","110701060006",50,10,1,100
"454","110901040000",76,13,2,50
"455","110901040001",37,11,1,100
"456","110901040002",42,19,1,0
"457","111111111111",204510,16,4965,28
"458","120102040000",17,6,1,0
"459","120102040001",17,6,1,0
"460","120301040000",32,16,1,100
"461","120301040001",32,16,1,100
"462","140207060000",260,7,6,50
"463","140207060002",27,4,1,0
"464","140207060003",25,16,1,100
"465","140207060005",86,5,1,100
"466","140207060006",91,4,1,100
"467","140207060007",22,5,1,0
"468","140207060008",25,16,1,0
"469","140301030000",134,10,3,67
"470","140301030001",47,6,1,0
"471","140301030004",47,11,1,100
"472","140301030005",52,12,1,100
"473","140600010000",3080,9,66,35
"474","140600010001",45,2,1,100
"475","140600010003",64,20,1,100
"476","140600010006",59,8,1,0
"477","140600010017",38,8,1,100
"478","140600010018",54,17,1,100
"479","140600010019",53,6,1,100
"480","140600010027",53,9,1,0
"481","140600010031",46,13,1,0
