"ENTITY_CD","PUPIL_COUNT_TOT","PER_FEDERAL_EXP","PER_STATE_LOCAL_EXP"
"320900010058",424,2012,17100
"320900010063",529,1631,15726
"320900010070",1118,1880,14364
"320900010073",573,2814,16205
"320900010088",152,1563,15835
"320900010109",613,1382,15528
"320900010110",410,1597,16352
"320900010114",717,2048,16290
"320900010117",487,1733,23924
"320900010126",578,1498,15538
"320900010128",355,1021,12328
"320900010132",369,1870,19682
"320900010163",471,1861,16212
"320900010170",233,1466,18045
"320900010199",718,1636,14864
"320900010204",634,1289,15232
"320900010215",333,1038,15476
"320900010218",1035,1277,13055
"320900010219",352,1813,24711
"320900010229",239,2453,27377
"342500011525",1183,110,11134
"342500011540",304,469,17508
"342500011670",697,543,12785
"342500011792",169,507,17768
"342500861133",103,14078,11674
"342600010018",583,69,12331
"342600010026",711,820,13190
"342600010031",537,328,14969
"342600010041",463,552,16252
"342600010046",561,368,21102
"342600010067",951,156,10543
"342600010074",1156,245,12542
"342600010094",311,516,16681
"342600010098",281,15,17630
"342600010115",774,230,11749
"342600010133",583,249,15286
"342600010158",1078,284,10966
"342600010159",654,270,13965
"342600010162",665,332,13588
"342600010172",979,238,12831
"342600010173",965,141,12087
"342600010178",553,225,13292
"342600010186",374,94,31912
"342600010188",722,99,11443
"342600010191",382,150,14275
"342600010203",912,194,12825
"342600010205",314,641,17022
"261600010073",568,607,13770
"261600010074",1133,569,10681
"261600010089",261,375,14932
"261600010095",1833,1030,12227
"261600010097",620,490,9878
"261600010101",813,1295,10611
"261600010102",328,714,15118
"261600010103",569,796,14471
"261600010105",366,51,20250
"261600010106",356,3316,19221
"261600860705",823,697,12960
"261600860811",811,749,14439
"261600860826",221,1083,14332
"261600860877",396,709,14839
"261600860906",1164,847,13427
"261600860910",533,733,12838
"261600860985",352,1073,19601
"261600861049",263,633,14723
"261600861069",281,958,18310
"261600861071",370,0,0
"261600861102",207,640,13945
"261701060000",5527,394,18746
"261701060002",411,489,11446
"261701060004",422,348,12107
"261701060005",355,572,15395
"261701060006",440,460,10583
"261701060012",669,295,9809
"261701060013",1248,331,13395
"261701060014",610,222,14816
"280227030004",276,391,22341
"280227030005",662,418,21979
"280227030006",415,550,19536
"280229020000",1190,272,25051
"280229020001",479,119,16941
"280229020002",277,652,21123
"280229020003",434,199,18535
"280230020000",1465,742,20511
"280230020001",377,479,14555
"280230020002",367,1024,15238
"280230020003",721,737,13665
"280231020000",731,2533,31114
"280231020001",330,2328,26956
"280231020003",401,393,20313
"280251070000",4558,335,21335
"280251070001",958,521,15275
"280251070002",1374,339,16545
"280251070003",1284,169,16985
"280251070004",942,364,17418
"280252070000",8141,298,20661
"280252070002",1640,433,16442
"280252070003",1389,226,17169
"280252070004",1619,184,15393
"280252070005",1823,189,15595
"280252070006",1670,454,16354
"280253070000",5276,224,25448
"280253070002",939,428,17930
"280253070004",830,206,19115
"280253070005",1212,29,22231
"280253070006",1249,231,18399
"280253070007",1046,207,19893
"280300010000",3796,660,30434
"280300010002",363,597,21826
"280300010003",560,564,17037
"280300010004",360,1152,22509
"280300010005",407,899,21865
"280300010006",797,530,26108
"280300010008",1302,590,24355
"280402030000",1694,225,30357
"280402030001",567,340,20816
"280402030002",416,293,23817
"280402030003",711,93,23430
"280403030000",3172,327,29542
"280403030004",507,527,18221
"280403030006",363,736,21095
"280403030007",524,312,19443
"280403030008",1041,169,22750
"280403030009",737,222,21777
"280404030000",5531,573,24323
"280404030002",557,483,20158
"280404030004",496,445,20064
"280404030005",503,439,19247
"280404030006",433,237,19533
"280404030007",551,232,20754
"280404030008",1251,224,20725
"261401060002",352,372,13374
"261401060004",419,313,13030
"261401060005",785,175,12132
"261401060006",929,184,14124
"261401060008",712,281,14268
"261401060009",421,341,12775
"261401060010",1036,130,13878
"261401060011",668,190,14239
"261501060000",3816,382,15143
"261501060002",545,323,10228
"261501060003",389,833,11446
"261501060004",1208,194,10001
"261501060006",482,235,10334
"261501060008",1192,344,10750
"261600010000",28841,1421,19334
"261600010002",325,1222,14391
"261600010003",655,635,10944
"261600010004",420,805,14245
"261600010005",658,751,10463
"261600010007",524,769,11971
"261600010008",508,1477,14089
"261600010009",698,1847,11303
"261600010010",352,1986,9761
"261600010012",804,1023,11055
"261600010015",342,563,12733
"261600010016",409,930,12056
"261600010017",624,722,13656
"342800011284",657,401,10703
"342800011310",665,584,13263
"342800011325",445,555,14014
"342800011328",463,523,12147
"342800011338",190,2015,16240
"342800011350",493,504,11470
"342800011440",3793,459,10363
"342800011505",3244,605,11149
"342800011620",2195,685,11485
"342800011680",710,90,11505
"342800011686",1102,180,12001
"342800011687",475,9,11824
"342800011690",464,539,13686
"342800011896",549,498,11507
"342800860824",359,538,20121
"342800860969",286,471,16943
"342900010015",433,558,13362
"342900010033",946,672,13263
"342900010034",589,734,12748
"342900010035",670,882,14034
"342900010036",402,702,16395
"342900010037",420,686,16579
"342900010038",281,681,15769
"342900010052",418,1894,17152
"342900010059",603,798,13103
"342900010095",1446,794,11926
"342900010109",1164,521,12387
"342900010116",781,718,14941
"320900011329",275,1249,18048
"320900011350",215,2364,25940
"320900011365",318,1295,14065
"320900011403",407,1481,17186
"320900011404",290,1811,18943
"320900011412",275,1851,25536
"320900011413",422,993,16387
"320900011505",754,897,14613
"320900011517",410,1154,15530
"320900011525",544,1386,16539
"320900011543",222,1922,16522
"320900011564",341,1480,15713
"320900860807",706,783,18152
"320900860823",682,1441,15253
"320900860835",332,754,17887
"320900860839",267,2548,18548
"320900860913",599,953,17498
"320900860962",606,763,17584
"320900860980",754,899,15255
"320900861004",269,1175,18810
"320900861029",355,714,17001
"320900861073",426,1073,21478
