"INSTITUTION_ID","ENTITY_CD","ENTITY_NAME","YEAR","SUBGROUP_NAME","COHORT","STATE_BASELINE","SCHOOL_BASELINE","COHORT_COUNT","GRAD_RATE","MIP","STATE_MIP","LONG_TERM_GOAL","EXCEED_LT_GOAL","MET_SH_TARGET","MET_AG_TARGET","END_GOAL","COHORT_LEVEL","OVERRIDE","CHANGE_COHORT","CHANGE_GRAD_RATE","CHANGE_SH_TARGET","CHANGE_AG_TARGET","CHANGE_COHORT_LEVEL","DISPLAY_COHORT_COUNT"
"800000054440","060401040006","CASSADAGA VALLEY MIDDLE/HIGH SCHOOL","2019","All Students","Combined","s","s","s","85.7","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000054398","060503040001","CHAUTAUQUA LAKE SECONDARY SCHOOL","2019","All Students","Combined","s","s","s","96.1","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054384","060601040003","PINE VALLEY CENTRAL JUNIOR-SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","90.7","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054365","060701040003","CLYMER CENTRAL SCHOOL","2019","All Students","Combined","s","s","s","99.4","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054331","060800010009","DUNKIRK SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","77.4","s","s","s","s","s","s","s","2",NA,NA,NA,NA,NA,NA,NA
"800000054288","061001040005","MAPLE GROVE JUNIOR/SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","94.5","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054316","061101040007","FALCONER MIDDLE/HIGH SCHOOL","2019","All Students","Combined","s","s","s","94.2","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054302","061501040001","SILVER CREEK HIGH SCHOOL","2019","All Students","Combined","s","s","s","91.4","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054271","061503040003","FORESTVILLE CENTRAL HIGH SCHOOL","2019","All Students","Combined","s","s","s","95.3","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054278","061601040001","PANAMA HIGH SCHOOL","2019","All Students","Combined","s","s","s","100","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054256","061700010013","JAMESTOWN HIGH SCHOOL","2019","All Students","Combined","s","s","s","78.8","s","s","s","s","s","s","s","1",NA,NA,NA,NA,NA,NA,NA
"800000054178","062201060003","FREDONIA HIGH SCHOOL","2019","All Students","Combined","s","s","s","94.3","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054157","062301040003","BROCTON MIDDLE HIGH SCHOOL","2019","All Students","Combined","s","s","s","94.6","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054168","062601040003","SHERMAN HIGH SCHOOL","2019","All Students","Combined","s","s","s","94.7","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054161","062901040002","WESTFIELD HIGH SCHOOL","2019","All Students","Combined","s","s","s","88","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000054119","070600010020","ELMIRA HIGH SCHOOL","2019","All Students","Combined","s","s","s","72.3","s","s","s","s","s","s","s","2",NA,NA,NA,NA,NA,NA,NA
"800000054120","070600010021","ERNIE DAVIS ACADEMY","2019","All Students","Combined","s","s","s","20.6","s","s","s","s","s","s","s","1",NA,NA,NA,NA,NA,NA,NA
"800000054062","070901060007","HORSEHEADS SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","89.7","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054046","070902060002","THOMAS A EDISON HIGH SCHOOL","2019","All Students","Combined","s","s","s","82.8","s","s","s","s","s","s","s","2",NA,NA,NA,NA,NA,NA,NA
"800000054011","080101040003","AFTON JUNIOR/SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","87.8","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000054037","080201040001","BAINBRIDGE-GUILFORD HIGH SCHOOL","2019","All Students","Combined","s","s","s","94.5","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054015","080601040003","GREENE HIGH SCHOOL","2019","All Students","Combined","s","s","s","94.3","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054003","081003040003","UNADILLA VALLEY SECONDARY SCHOOL","2019","All Students","Combined","s","s","s","89.2","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053953","081200050004","NORWICH HIGH SCHOOL","2019","All Students","Combined","s","s","s","88.7","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053934","081401040001","OTSELIC VALLEY CENTRAL SCHOOL","2019","All Students","Combined","s","s","s","95.5","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053960","081501040002","OXFORD ACADEMY HIGH SCHOOL","2019","All Students","Combined","s","s","s","94.9","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053928","082001040004","SHERBURNE-EARLVILLE SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","89.6","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053923","090201040002","AUSABLE VALLEY HIGH SCHOOL","2019","All Students","Combined","s","s","s","87.1","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053903","090301060006","BEEKMANTOWN HIGH SCHOOL","2019","All Students","Combined","s","s","s","88.9","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053888","090501040002","NORTHEASTERN CLINTON SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","89.2","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053883","090601020002","CHAZY CENTRAL RURAL JUNIOR-SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","92.8","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053847","090901040002","NORTHERN ADIRONDACK MIDDLE/HIGH SCHOOL","2019","All Students","Combined","s","s","s","87.5","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053876","091101060004","PERU ELEMENTARY SCHOOL","2019","All Students","Combined","s","s","s","s","s","s","s","s","s","s","s","s",NA,NA,NA,NA,NA,NA,NA
"800000053877","091101060005","PERU JR/SR HIGH SCHOOL","2019","All Students","Combined","s","s","s","87","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053859","091200010006","PLATTSBURGH SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","85","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053803","091402060005","SARANAC HIGH SCHOOL","2019","All Students","Combined","s","s","s","94.1","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053757","100501040003","TACONIC HILLSJUNIOR/SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","86.7","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000074834","100902040004","GERMANTOWN JUNIOR-SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","87.8","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053739","101001040002","CHATHAM HIGH SCHOOL","2019","All Students","Combined","s","s","s","91.6","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053705","101300010001","HUDSON JUNIOR/SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","85.7","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053664","101401040005","ICHABOD CRANE SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","88.8","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053667","101601040003","NEW LEBANON JUNIOR-SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","91.8","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053644","110101040002","CINCINNATUS HIGH SCHOOL","2019","All Students","Combined","s","s","s","90.8","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053652","110200010011","CORTLAND JUNIOR-SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","84","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053596","110304040002","MCGRAW SECONDARY SCHOOL","2019","All Students","Combined","s","s","s","95.4","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053623","110701060001","HOMER SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","94.2","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053591","110901040001","MARATHON HIGH SCHOOL","2019","All Students","Combined","s","s","s","95","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000081568","111111111111","All Public Schools","2019","All Students","Combined","s","s","s","84.7","s","s","s","s","s","s","s","s",NA,NA,NA,NA,NA,NA,NA
"800000053603","120102040001","ANDES CENTRAL SCHOOL","2019","All Students","Combined","s","s","s","93.9","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053589","120301040001","DOWNSVILLE CENTRAL SCHOOL","2019","All Students","Combined","s","s","s","94.1","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053583","120401040001","CHARLOTTE VALLEY SCHOOL","2019","All Students","Combined","s","s","s","81.2","s","s","s","s","s","s","s","2",NA,NA,NA,NA,NA,NA,NA
"800000053568","120501040002","DELAWARE ACADEMY HIGH SCHOOL","2019","All Students","Combined","s","s","s","92.7","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053566","120701040001","FRANKLIN CENTRAL SCHOOL","2019","All Students","Combined","s","s","s","97.8","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053530","120906040002","HANCOCK JUNIOR-SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","91.7","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053536","121401040001","MARGARETVILLE CENTRAL SCHOOL","2019","All Students","Combined","s","s","s","92","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053511","121502040001","ROXBURY CENTRAL SCHOOL","2019","All Students","Combined","s","s","s","88.6","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053518","121601060006","SIDNEY HIGH SCHOOL","2019","All Students","Combined","s","s","s","89.3","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053492","121701040001","STAMFORD CENTRAL SCHOOL","2019","All Students","Combined","s","s","s","91.4","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053490","121702040001","SOUTH KORTRIGHT CENTRAL SCHOOL","2019","All Students","Combined","s","s","s","98.4","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053501","121901040002","WALTON HIGH SCHOOL","2019","All Students","Combined","s","s","s","91.1","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053468","130200010005","BEACON HIGH SCHOOL","2019","All Students","Combined","s","s","s","88.2","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053463","130502020003","DOVER HIGH SCHOOL","2019","All Students","Combined","s","s","s","88.2","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053428","130801060007","FRANKLIN D ROOSEVELT SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","85.1","s","s","s","s","s","s","s","2",NA,NA,NA,NA,NA,NA,NA
"800000053416","131101040004","WEBUTUCK HIGH SCHOOL","2019","All Students","Combined","s","s","s","92.9","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053366","131201040002","PAWLING HIGH SCHOOL","2019","All Students","Combined","s","s","s","93.6","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053379","131301040002","STISSING MOUNTAIN HIGH SCHOOL","2019","All Students","Combined","s","s","s","88.2","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053355","131500010010","POUGHKEEPSIE HIGH SCHOOL","2019","All Students","Combined","s","s","s","64.1","s","s","s","s","s","s","s","1",NA,NA,NA,NA,NA,NA,NA
"800000053267","131601060008","ARLINGTON HIGH SCHOOL","2019","All Students","Combined","s","s","s","92.8","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053239","131602020005","SPACKENKILL HIGH SCHOOL","2019","All Students","Combined","s","s","s","98.3","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053236","131701060002","RED HOOK SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","91.6","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000053217","131801040001","RHINEBECK SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","96.2","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053173","132101060011","ROY C KETCHAM SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","92.1","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000053177","132101060015","JOHN JAY SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","95.3","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
