"","ENTITY_CD","ENTITY_NAME","YEAR","ATTENDANCE_RATE"
"133","030601060001","BROOKSIDE ELEMENTARY SCHOOL",2019,96
"134","030601060004","F P DONNELLY SCHOOL",2019,95
"135","030601060005","RICHARD T STANK MIDDLE SCHOOL",2019,94
"136","030601060006","SUSQUEHANNA VALLEY SENIOR HIGH SCHOOL",2019,94
"137","030701060000","CHENANGO VALLEY CENTRAL SCHOOL DISTRICT",2019,95
"138","030701060001","CHENANGO VALLEY HIGH SCHOOL",2019,93
"139","030701060003","CHENANGO BRIDGE ELEMENTARY SCHOOL",2019,96
"140","030701060004","PORT DICKINSON ELEMENTARY SCHOOL",2019,95
"141","030701060005","CHENANGO VALLEY MIDDLE SCHOOL",2019,95
"142","031101060000","MAINE-ENDWELL CENTRAL SCHOOL DISTRICT",2019,95
"143","031101060003","HOMER BRINK SCHOOL",2019,96
"144","031101060004","MAINE MEMORIAL SCHOOL",2019,95
"145","031101060005","MAINE-ENDWELL MIDDLE SCHOOL",2019,95
"146","031101060006","MAINE-ENDWELL SENIOR HIGH SCHOOL",2019,94
"147","031301040000","DEPOSIT CENTRAL SCHOOL DISTRICT",2019,94
"148","031301040002","DEPOSIT ELEMENTARY SCHOOL",2019,95
"149","031301040003","DEPOSIT MIDDLE-SENIOR HIGH SCHOOL",2019,93
"150","031401060000","WHITNEY POINT CENTRAL SCHOOL DISTRICT",2019,94
"151","031401060002","TIOUGHNIOGA RIVERSIDE ACADEMY",2019,95
"152","031401060004","WHITNEY POINT SENIOR HIGH SCHOOL",2019,92
"153","031401060005","CARYL E ADAMS PRIMARY SCHOOL",2019,95
"154","031501060000","UNION-ENDICOTT CENTRAL SCHOOL DISTRICT",2019,94
"155","031501060001","CHARLES F JOHNSON JR ELEMENTARY SCHOOL",2019,93
"156","031501060002","GEORGE F JOHNSON ELEMENTARY SCHOOL",2019,95
"157","031501060007","LINNAEUS W WEST SCHOOL",2019,89
"158","031501060009","JENNIE F SNAPP MIDDLE SCHOOL",2019,94
"159","031501060012","UNION-ENDICOTT HIGH SCHOOL",2019,93
"160","031501060013","THOMAS J WATSON SR ELEMENTARY SCHOOL",2019,93
"161","031501060014","ANN G MCGUINNESS ELEMENTAR SCHOOL",2019,96
"162","031502060000","JOHNSON CITY CENTRAL SCHOOL DISTRICT",2019,93
"163","031502060001","JOHNSON CITY ELEMENTARY/INTERMEDIATE SCHOOL",2019,94
"164","031502060003","JOHNSON CITY ELEMENTARY/PRIMARY SCHOOL",2019,93
"165","031502060005","JOHNSON CITY MIDDLE SCHOOL",2019,95
"166","031502060006","JOHNSON CITY SENIOR HIGH SCHOOL",2019,92
"167","031601060000","VESTAL CENTRAL SCHOOL DISTRICT",2019,95
"168","031601060021","AFRICAN ROAD ELEMENTARY SCHOOL",2019,96
"169","031601060022","CLAYTON AVENUE ELEMENTARY SCHOOL",2019,96
"170","031601060023","GLENWOOD ELEMENTARY SCHOOL",2019,96
"171","031601060026","TIOGA HILLS ELEMENTARY SCHOOL",2019,96
"172","031601060028","VESTAL HILLS ELEMENTARY SCHOOL",2019,96
"173","031601060041","VESTAL MIDDLE SCHOOL",2019,96
"174","031601060051","VESTAL SENIOR HIGH SCHOOL",2019,95
"175","031701060000","WINDSOR CENTRAL SCHOOL DISTRICT",2019,96
"176","031701060002","FLOYD BELL ELEMENTARY SCHOOL",2019,95
"177","031701060003","C R WEEKS ELEMENTARY SCHOOL",2019,95
"178","031701060004","A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL",2019,96
"179","031701060007","WINDSOR CENTRAL HIGH SCHOOL",2019,97
"180","040204040000","WEST VALLEY CENTRAL SCHOOL DISTRICT",2019,94
"181","040204040001","WEST VALLEY CENTRAL SCHOOL",2019,94
"182","040302060000","ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT",2019,95
"183","040302060001","ALLEGANY-LIMESTONE HIGH SCHOOL",2019,95
"184","040302060002","ALLEGANY-LIMESTONE ELEMENTARY SCHOOL",2019,96
"185","040901040000","ELLICOTTVILLE CENTRAL SCHOOL DISTRICT",2019,96
"186","040901040001","ELLICOTTVILLE ELEMENTARY SCHOOL",2019,96
"187","040901040002","ELLICOTTVILLE MIDDLE SCHOOL HIGH SCHOOL",2019,95
"188","041101040000","FRANKLINVILLE CENTRAL SCHOOL DISTRICT",2019,95
"189","041101040002","FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL",2019,95
"190","041101040003","FRANKLINVILLE ELEMENTARY SCHOOL",2019,95
"191","041401040000","HINSDALE CENTRAL SCHOOL DISTRICT",2019,95
"192","041401040001","HINSDALE CENTRAL SCHOOL",2019,95
"193","042302040000","CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT",2019,95
"194","042302040002","CATTARAUGUS-LITTLE VALLEY ELEMENTARY SCHOOL",2019,95
"195","042302040003","CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL",2019,95
"196","042302040004","CATTARAUGUS-LITTLE VALLEY MIDDLE SCHOOL",2019,95
"197","042400010000","OLEAN CITY SCHOOL DISTRICT",2019,93
"198","042400010002","WASHINGTON WEST ELEMENTARY SCHOOL",2019,93
"199","042400010004","EAST VIEW ELEMENTARY SCHOOL",2019,94
"200","042400010013","OLEAN SENIOR HIGH SCHOOL",2019,92
"201","042400010016","OLEAN INTERMEDIATE-MIDDLE SCHOOL",2019,95
"202","042801060000","GOWANDA CENTRAL SCHOOL DISTRICT",2019,93
"203","042801060001","GOWANDA ELEMENTARY SCHOOL",2019,95
"204","042801060005","GOWANDA MIDDLE SCHOOL",2019,94
"205","042801060006","GOWANDA HIGH SCHOOL",2019,92
"206","042901040000","PORTVILLE CENTRAL SCHOOL DISTRICT",2019,96
"207","042901040001","PORTVILLE ELEMENTARY SCHOOL",2019,96
"208","042901040002","PORTVILLE JUNIOR-SENIOR HIGH SCHOOL",2019,96
"209","043001040000","RANDOLPH CENTRAL SCHOOL DISTRICT",2019,95
"210","043001040002","RANDOLPH SENIOR HIGH SCHOOL",2019,95
"211","043001040003","G N CHAPMAN ELEMENTARY SCHOOL",2019,95
"212","043011020000","RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT",2019,87
"213","043011020001","RANDOLPH ACADEMY",2019,90
"214","043011020002","RANDOLPH ACADEMYHAMBURG CAMPUS",2019,83
"215","043200050000","SALAMANCA CITY SCHOOL DISTRICT",2019,93
"216","043200050002","SALAMANCA JUNIOR/SENIOR HIGH SCHOOL",2019,93
"217","043200050004","PROSPECT ELEMENTARY SCHOOL",2019,93
"218","043200050005","SENECA ELEMENTARY SCHOOL",2019,93
"219","043501060000","YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT",2019,94
"220","043501060001","DELEVAN ELEMENTARY SCHOOL",2019,94
"221","043501060004","PIONEER MIDDLE SCHOOL",2019,95
"222","043501060005","ARCADE ELEMENTARY SCHOOL",2019,95
"223","043501060006","PIONEER SENIOR HIGH SCHOOL",2019,93
"224","050100010000","AUBURN CITY SCHOOL DISTRICT",2019,93
"225","050100010002","CASEY PARK ELEMENTARY SCHOOL",2019,93
"226","050100010004","GENESEE STREET ELEMENTARY SCHOOL",2019,93
"227","050100010005","HERMAN AVENUE ELEMENTARY SCHOOL",2019,94
"228","050100010007","OWASCO ELEMENTARY SCHOOL",2019,95
"229","050100010008","WILLIAM H SEWARD ELEMENTARY SCHOOL",2019,95
"230","050100010009","AUBURN JUNIOR HIGH SCHOOL",2019,93
"231","050100010013","AUBURN HIGH SCHOOL",2019,92
"232","050301040000","WEEDSPORT CENTRAL SCHOOL DISTRICT",2019,96
"233","050301040002","WEEDSPORT JUNIOR-SENIOR HIGH SCHOOL",2019,95
"234","050301040003","WEEDSPORT ELEMENTARY SCHOOL",2019,96
"235","050401040000","CATO-MERIDIAN CENTRAL SCHOOL DISTRICT",2019,95
"236","050401040001","CATO-MERIDIAN ELEMENTARY SCHOOL",2019,95
"237","050401040002","CATO-MERIDIAN MIDDLE SCHOOL",2019,95
"238","050401040003","CATO-MERIDIAN SENIOR HIGH SCHOOL",2019,94
"239","050701040000","SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT",2019,95
"240","050701040005","SOUTHERN CAYUGA  7-12 SECONDARY SCHOOL",2019,96
"241","050701040007","SOUTHERN CAYUGA ELEMENTARY SCHOOL",2019,95
"242","051101040000","PORT BYRON CENTRAL SCHOOL DISTRICT",2019,93
"243","051101040001","A A GATES ELEMENTARY SCHOOL",2019,94
"244","051101040004","PORT BYRON SENIOR HIGH SCHOOL",2019,92
"245","051301040000","MORAVIA CENTRAL SCHOOL DISTRICT",2019,94
"246","051301040001","MILLARD FILLMORE ELEMENTARY SCHOOL",2019,95
"247","051301040003","MORAVIA JUNIOR-SENIOR HIGH SCHOOL",2019,94
"248","051901040000","UNION SPRINGS CENTRAL SCHOOL DISTRICT",2019,95
"249","051901040002","ANDREW J SMITH ELEMENTARY SCHOOL",2019,95
"250","051901040005","UNION SPRINGS MIDDLE SCHOOL HIGH SCHOOL",2019,94
"251","051901040006","UNION SPRINGS MIDDLE SCHOOL",2019,96
"252","060201060000","SOUTHWESTERN CENTRAL SCHOOL DISTRICT AT JAMESTOWN",2019,96
"253","060201060003","SOUTHWESTERN SENIOR HIGH SCHOOL",2019,95
"254","060201060006","SOUTHWESTERN MIDDLE SCHOOL",2019,96
"255","060201060007","SOUTHWESTERN ELEMENTARY SCHOOL",2019,96
"256","060301040000","FREWSBURG CENTRAL SCHOOL DISTRICT",2019,95
"257","060301040002","ROBERT H JACKSON ELEMENTARY SCHOOL",2019,96
"258","060301040004","FREWSBURG JUNIOR-SENIOR HIGH SCHOOL",2019,95
"259","060401040000","CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT",2019,94
"260","060401040003","SINCLAIRVILLE ELEMENTARY SCHOOL",2019,94
"261","060401040006","CASSADAGA VALLEY MIDDLE/HIGH SCHOOL",2019,94
"262","060503040000","CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT",2019,95
"263","060503040001","CHAUTAUQUA LAKE SECONDARY SCHOOL",2019,95
"264","060503040002","CHAUTAUQUA LAKE ELEMENTARY SCHOOL",2019,95
"265","060601040000","PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON)",2019,91
"266","060601040002","PINE VALLEY ELEMENTARY SCHOOL",2019,91
"267","060601040003","PINE VALLEY CENTRAL JUNIOR-SENIOR HIGH SCHOOL",2019,92
"268","060701040000","CLYMER CENTRAL SCHOOL DISTRICT",2019,96
"269","060701040003","CLYMER CENTRAL SCHOOL",2019,96
"270","060800010000","DUNKIRK CITY SCHOOL DISTRICT",2019,92
"271","060800010003","SCHOOL 3",2019,93
"272","060800010004","SCHOOL 4",2019,94
"273","060800010005","SCHOOL 5",2019,93
"274","060800010007","SCHOOL 7",2019,93
"275","060800010009","DUNKIRK SENIOR HIGH SCHOOL",2019,88
"276","060800010010","DUNKIRK MIDDLE SCHOOL",2019,94
"277","061001040000","BEMUS POINT CENTRAL SCHOOL DISTRICT",2019,95
"278","061001040001","BEMUS POINT ELEMENTARY SCHOOL",2019,95
"279","061001040005","MAPLE GROVE JUNIOR/SENIOR HIGH SCHOOL",2019,94
"280","061101040000","FALCONER CENTRAL SCHOOL DISTRICT",2019,95
"281","061101040001","HARVEY C FENNER ELEMENTARY SCHOOL",2019,95
"282","061101040007","FALCONER MIDDLE/HIGH SCHOOL",2019,96
"283","061101040009","PAUL B D TEMPLE ELEMENTARY SCHOOL",2019,95
"284","061501040000","SILVER CREEK CENTRAL SCHOOL DISTRICT",2019,93
"285","061501040001","SILVER CREEK HIGH SCHOOL",2019,91
"286","061501040002","SILVER CREEK MIDDLE SCHOOL",2019,95
"287","061501040003","SILVER CREEK ELEMENTARY SCHOOL",2019,94
"288","061503040000","FORESTVILLE CENTRAL SCHOOL DISTRICT",2019,95
"289","061503040002","FORESTVILLE ELEMENTARY SCHOOL",2019,95
"290","061503040003","FORESTVILLE CENTRAL HIGH SCHOOL",2019,95
"291","061601040000","PANAMA CENTRAL SCHOOL DISTRICT",2019,95
"292","061601040001","PANAMA HIGH SCHOOL",2019,95
"293","061601040003","PANAMA K-6 SCHOOL",2019,95
"294","061700010000","JAMESTOWN CITY SCHOOL DISTRICT",2019,92
"295","061700010001","CARLYLE C RING ELEMENTARY SCHOOL",2019,91
"296","061700010003","CLINTON V BUSH ELEMENTARY SCHOOL",2019,94
"297","061700010006","PERSELL MIDDLE SCHOOL",2019,94
"298","061700010007","MILTON J FLETCHER ELEMENTARY SCHOOL",2019,93
"299","061700010009","SAMUEL G LOVE ELEMENTARY SCHOOL",2019,91
"300","061700010010","THOMAS JEFFERSON MIDDLE SCHOOL",2019,93
"301","061700010011","ABRAHAM LINCOLN ELEMENTARY SCHOOL",2019,94
"302","061700010012","GEORGE WASHINGTON MIDDLE SCHOOL",2019,92
"303","061700010013","JAMESTOWN HIGH SCHOOL",2019,89
"304","062201060000","FREDONIA CENTRAL SCHOOL DISTRICT",2019,93
"305","062201060001","FREDONIA ELEMENTARY SCHOOL",2019,92
"306","062201060002","FREDONIA MIDDLE SCHOOL",2019,94
