"ENTITY_CD","PER_OUT_CERT"
"140600010310",15
"140600010311",33
"140600010312",10
"140600010313",3
"140600010314",23
"140600010315",0
"140600010316",11
"140600860814",40
"140600860817",20
"140600860838",25
"140600860851",14
"140600860856",40
"140600860861",41
"140600860863",43
"140600860874",17
"140600860896",25
"140600860911",68
"140600860961",38
"140600860986",17
"140600861072",17
"140600861105",9
"140600861109",25
"140600861129",58
"140600861134",40
"140701060000",6
"140701060004",0
"140701060006",0
"140701060007",4
"140702030000",1
"140702030003",0
"140702030004",0
"140702030005",0
"140702030006",2
"140703020000",0
"140703020002",0
"140703020003",0
"140703020004",0
"140707030000",0
"140707030003",0
"140707030004",0
"140707030005",0
"140709030000",1
"140709030001",0
"140709030002",0
"140709030003",3
"140709030004",0
"140801060000",0
"140801060002",0
"140801060003",0
"140801060005",0
"140801060006",0
"140801060007",0
"140801060008",0
"141101060000",2
"141101060001",0
"141101060002",0
"141101060003",0
"141101060004",9
"141201060000",2
"141201060001",5
"141201060002",0
"141201060005",0
"141301060000",1
"141301060002",0
"141301060003",0
"142601030003",0
"142601030006",0
"142601030011",8
"142601030013",0
"142601030020",0
"142601030023",0
"142601030024",0
"142601030025",2
"142601030026",2
"142601860031",21
"142801060000",0
"142801060003",0
"142801060005",0
"142801060008",0
"142801060010",1
"142801060011",0
"142801060015",0
"142801060016",0
"142801060017",0
"142801060018",2
"150203040000",21
"150203040001",22
"150301040000",0
"150301040001",0
"150601040000",8
"150601040001",8
"150801040000",0
"150801040001",0
"150901040000",6
"150901040004",8
"150901040007",3
"151001040000",11
"151001040001",12
"151102040000",14
"151102040001",20
"151102040002",6
"151401040000",3
"151401040001",4
"151501060000",4
"151501060001",4
"151501060003",0
"151501060007",13
"151601040000",0
"151601040001",0
"151701040000",6
"151701040001",4
"160101060000",7
"160101060001",12
"160101060003",5
"160801040000",0
"160801040001",0
"160801040002",0
"161201040000",4
"161201040001",5
"161201040002",3
"161201040003",0
"161201040005",0
"161401060000",4
"161401060001",0
"161401060002",3
"161401060003",4
"161401060004",0
"161501060000",3
"161501060006",6
"161501060011",0
"161501060014",2
"161501060015",8
"161501060016",0
"161601040000",5
"161601040002",15
"161601040003",0
"161801040000",23
"161801040001",25
"170301020000",6
"170301020001",6
"170500010000",6
"170500010004",2
"170500010007",0
"170500010008",9
"170500010009",12
"170500010011",0
"170600010000",1
"170600010001",0
"170600010004",0
"170600010005",0
"170600010006",2
"170600010007",0
"170801040000",4
"170801040001",0
"170801040002",3
"170901040000",9
"170901040001",17
"170901040002",0
"171102040000",2
"171102040001",0
"171102040002",0
"171102040003",3
"171102040004",4
"180202040000",6
"180202040002",0
"180202040003",11
"180300010000",0
"180300010001",0
"180300010003",0
"180300010005",1
"180300010006",0
"180701040000",0
"180701040001",0
"180701040004",0
"180901040000",10
"180901040001",4
"180901040002",11
"181001060000",0
"181001060001",0
"181001060002",0
"181101040000",5
"181101040001",3
"181101040006",5
"181201040000",5
"181201040001",9
"181201040002",0
"181302040000",1
"181302040001",0
"181302040002",2
"181302040003",0
"190301040000",2
"190301040001",0
"190301040003",2
"190301040004",5
"190401060000",0
"190401060003",0
"190401060007",0
"190401060008",0
"190501040000",2
"190501040001",3
"190501040002",0
"190501040003",0
"190501040004",4
"190701040000",8
"190701040001",0
"190701040004",10
"190701040005",4
"190901040000",2
"190901040001",0
"190901040003",0
"191401040000",11
"191401040001",11
"200101080000",0
"200401040000",4
"200401040001",4
"200501080000",0
"200501080001",0
"200601040000",0
"200601040001",0
"200701040000",28
"200701040001",31
"200702020000",0
"200901040000",0
"200901040001",0
"210302040000",2
"210302040003",4
"210302040005",0
"210402060000",4
"210402060001",5
"210402060003",0
"210402060005",13
"210601060000",6
